start,end,Id_number,Date,Site_name,point,_point_latitude,_point_longitude,_point_altitude,_point_precision,Collector,Recorder,Collecting_method,Photo,Photo_URL,Artifact_type,Artifact_description,Raw_material_description,Flake_type,Flake_type_description,Flake_fragment,Flake_fragment_description,Technology_type,Core_type,Core_type_description,Tool_type,Tool_type_descrition,Bordian_type,Flake_length,Flake_width,Flake_thickness,Exterior_platform_angle,Platform_width,Platform_thickness,Platform_type,Platform_description,Flake_termination,Flake_termination_description,Dorsal_flake_scar_count,Dorsal_flake_scar_orientation,Blank_form,Blank_form_description,Retouch,Retouch_side,Retouch_type,Backed,Edge_damage,Cortex_percentage,Cortex_description,Maximum_flake_scar_length,Maximum_flake_scar_width,Maximum_core_length,Maximum_core_width,Maximum_core_thickness,Core_cross_section,Core_cross_section_description,Recycling_indications,Recycling_description,Weathering_class,Weathering_description,Part,Life_stage,Size_class,Cutmarks,Burning,Complete,Ceramic_type,Color,Temper_size,Decorated,Decoration_description,Weight,Period,Problem,Problem_notes,Notes,Artifact_photo,Artifact_photo_URL,Platform_surface,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,_tags,_index,location,recycled,double_patina,Thickness,Length,Width
2021-12-06T06:05:45Z,2021-12-06T06:30:33Z,698,NA,Semizbugu 10A,NA,NA,NA,NA,NA,NA,Emily Coco,collected,NA,NA,complete_flake,NA,"black, fine-grained",flake,NA,NA,NA,levallois,NA,NA,NA,NA,NA,56.5,46,11,NA,8.5,5.5,plain,NA,feather,NA,6,Levallois,NA,NA,TRUE,bifacial,scalar,NA,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,double_patina,Retouch on one margin slightly less weathered than rest of artifact,strongly_weathered,"Smoothed, reddish, some pockmarking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.32,Paleolithic,FALSE,NA,NA,IMG_1511-12_25_4.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2Fca435c28-e225-4a74-af4f-d72d411e97b9%2FIMG_1511-12_25_4.jpg,NA,128404408,ca435c28-e225-4a74-af4f-d72d411e97b9,2021-12-06T07:34:24Z,NA,NA,submitted_via_web,NA,NA,3,Semizbugu 10A,TRUE,TRUE,11,56.5,46
2021-12-06T06:30:33Z,2021-12-06T06:49:30Z,92,2021-12-06T06:45:00Z,Semizbugu 10A,NA,NA,NA,NA,NA,NA,Emily Coco,observed,NA,NA,complete_flake,NA,"black, fine-grained",flake,NA,NA,NA,n/a,NA,NA,NA,NA,NA,77.5,57.5,11.5,NA,28,11,plain,NA,feather,NA,1,unidirectional,NA,NA,TRUE,ventral,scalar,NA,FALSE,10,pockmarked and smooth,NA,NA,NA,NA,NA,NA,NA,none,NA,mildly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.71,Paleolithic,FALSE,NA,NA,IMG_1513-12_43_59.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F403a6582-1a9a-4213-8871-24d7534902e5%2FIMG_1513-12_43_59.jpg,NA,128404411,403a6582-1a9a-4213-8871-24d7534902e5,2021-12-06T07:34:25Z,NA,NA,submitted_via_web,NA,NA,4,Semizbugu 10A,FALSE,FALSE,11.5,77.5,57.5
2021-12-06T07:25:13Z,2021-12-06T07:37:04Z,247,2021-12-06T07:28:00Z,Semizbugu 10A,NA,NA,NA,NA,NA,NA,Emily Coco,collected,NA,NA,tool_fragment,NA,NA,NA,NA,NA,NA,NA,NA,NA,biface,NA,NA,101,52.5,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,biface,NA,FALSE,NA,NA,NA,FALSE,5,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128.82,Paleolithic,FALSE,NA,NA,IMG_1517-13_29_37.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F9ba7118b-71c8-40fc-b07c-4dc815f11345%2FIMG_1517-13_29_37.jpg,NA,128407060,9ba7118b-71c8-40fc-b07c-4dc815f11345,2021-12-06T07:59:03Z,NA,NA,submitted_via_web,NA,NA,8,Semizbugu 10A,FALSE,FALSE,29.5,101,52.5
2021-12-06T07:37:04Z,2021-12-06T07:43:23Z,826,2021-12-06T07:39:00Z,Semizbugu 10A,NA,NA,NA,NA,NA,NA,Emily Coco,collected,NA,NA,tool,NA,"black, fine-grained",NA,NA,NA,NA,NA,NA,NA,endscraper,NA,42,63,40,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake,NA,TRUE,dorsal,scalar notched_denticulated,NA,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,mildly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.83,Paleolithic,FALSE,NA,NA,IMG_1518-13_41_16.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F9cfcc035-6f1c-4d9a-8f7e-21936b804e13%2FIMG_1518-13_41_16.jpg,NA,128407081,9cfcc035-6f1c-4d9a-8f7e-21936b804e13,2021-12-06T07:59:12Z,NA,NA,submitted_via_web,NA,NA,9,Semizbugu 10A,FALSE,FALSE,16,63,40
2021-12-06T07:43:23Z,2021-12-06T07:49:02Z,44,2021-12-06T07:45:00Z,Semizbugu 10A,NA,NA,NA,NA,NA,NA,Emily Coco,collected,NA,NA,tool,NA,"black, fine-grained",NA,NA,NA,NA,NA,NA,NA,endscraper,NA,42,51.5,33.5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake,NA,TRUE,bifacial,notched_denticulated,NA,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,strongly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6,Paleolithic,NA,NA,NA,IMG_1519-13_46_35.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2Fba56a36a-a5ed-4ecc-a884-2397dd490ba8%2FIMG_1519-13_46_35.jpg,NA,128407088,ba56a36a-a5ed-4ecc-a884-2397dd490ba8,2021-12-06T07:59:18Z,NA,NA,submitted_via_web,NA,NA,10,Semizbugu 10A,FALSE,FALSE,13,51.5,33.5
2021-12-06T07:49:02Z,2021-12-06T07:55:35Z,310,2021-12-13T07:50:00Z,Semizbugu 10A,NA,NA,NA,NA,NA,NA,Emily Coco,collected,NA,NA,tool,NA,"black, fine-grained",NA,NA,NA,NA,NA,NA,NA,sidescraper,NA,13,81,50,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake other,Levallois triangle,TRUE,bifacial,scalar,NA,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,weakly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.08,Paleolithic,FALSE,NA,NA,IMG_1520-13_51_32.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2Fcc5bb87f-99f1-466e-a8ec-27634e7e9d4e%2FIMG_1520-13_51_32.jpg,NA,128407098,cc5bb87f-99f1-466e-a8ec-27634e7e9d4e,2021-12-06T07:59:24Z,NA,NA,submitted_via_web,NA,NA,11,Semizbugu 10A,FALSE,FALSE,16,81,50
2021-12-06T07:55:35Z,2021-12-06T08:11:53Z,456,2021-12-06T08:06:00Z,Semizbugu 10A,NA,NA,NA,NA,NA,NA,Emily Coco,collected,NA,NA,tool,NA,"black, fine-grained",NA,NA,NA,NA,NA,NA,NA,sidescraper,NA,10,112,60,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake,NA,TRUE,bifacial,scalar,NA,NA,15,"heavily smoothed, black with pockmarks",NA,NA,NA,NA,NA,NA,NA,double_patina,one removal that removed platform slightly less weathered,mildly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.62,Paleolithic,FALSE,NA,NA,IMG_1521-14_7_40.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F058bbe80-2f48-477b-95e4-263339bac67d%2FIMG_1521-14_7_40.jpg,NA,128432916,058bbe80-2f48-477b-95e4-263339bac67d,2021-12-06T10:48:33Z,NA,NA,submitted_via_web,NA,NA,12,Semizbugu 10A,TRUE,TRUE,24,112,60
2021-12-06T08:26:38Z,2021-12-08T04:48:22Z,359,2021-12-08T04:41:00Z,Semizbugu 10A,NA,NA,NA,NA,NA,NA,Emily Coco,collected,IMG_1524-10_43_13.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2Ffc87a315-d822-4409-aacd-91a860ccb59f%2FIMG_1524-10_43_13.jpg,complete_flake,NA,"black, fine-grained",flake,NA,NA,NA,n/a,NA,NA,NA,NA,NA,93.43,58.84,30.38,NA,33.19,16.82,plain,NA,feather,NA,5,multidirectional,NA,NA,FALSE,NA,NA,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,mildly_weathered,Smoothed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.22,Paleolithic,NA,NA,Modern edge damage,NA,NA,NA,128724943,fc87a315-d822-4409-aacd-91a860ccb59f,2021-12-08T04:51:46Z,NA,NA,submitted_via_web,NA,NA,15,Semizbugu 10A,FALSE,FALSE,30.38,93.43,58.84
2021-12-08T04:48:22Z,2021-12-08T05:00:52Z,305,2021-12-08T04:57:00Z,Semizbugu 10A,NA,NA,NA,NA,NA,NA,Emily Coco,collected,IMG_1525-10_58_21.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F8e1de5f3-5e9f-472b-be33-092dc5fba9d4%2FIMG_1525-10_58_21.jpg,tool,NA,"black, fine-grained",NA,NA,NA,NA,NA,NA,NA,endscraper,NA,42,62.71,84.55,27.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake,NA,TRUE,bifacial,scalar notched_denticulated,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,mildly_weathered,"Smoothed, slight discoloration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.5,Paleolithic,FALSE,NA,NA,NA,NA,NA,128729679,8e1de5f3-5e9f-472b-be33-092dc5fba9d4,2021-12-08T05:45:12Z,NA,NA,submitted_via_web,NA,NA,16,Semizbugu 10A,FALSE,FALSE,27.85,62.71,84.55
2021-12-08T05:00:52Z,2021-12-08T05:46:33Z,384,2021-12-08T05:02:00Z,Semizbugu 10A,NA,NA,NA,NA,NA,NA,Emily Coco,collected,IMG_1526-11_3_58.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2Ffa091ade-7589-499c-9dc7-bd8a6aac28dd%2FIMG_1526-11_3_58.jpg,complete_flake,NA,"black, fine-grained",blade,NA,NA,NA,levallois,NA,NA,NA,NA,NA,100.94,49.05,27.47,NA,24.67,20.85,faceted,NA,hinge,NA,16,Random,NA,NA,TRUE,NA,other,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,double_patina multiple_type_signatures,"Possible flake made from biface due to dorsal flake scar patterns, also lateral snapped edge possibly slightly less weathered",strongly_weathered,heavily smoothed and reddened,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.88,Paleolithic,NA,NA,Atypical Levallois blade (this is the type given in all the books),NA,NA,NA,128729682,260a3fd8-708c-46c5-b423-92d1dfc8d293,2021-12-08T05:45:14Z,NA,NA,submitted_via_web,NA,NA,17,Semizbugu 10A,TRUE,TRUE,27.47,100.94,49.05
