start,end,Id_number,Date,Site_name,point,_point_latitude,_point_longitude,_point_altitude,_point_precision,Collector,Recorder,Collecting_method,Photo,Photo_URL,Artifact_type,Artifact_description,Raw_material_description,Flake_type,Flake_type_description,Flake_fragment,Flake_fragment_description,Technology_type,Core_type,Core_type_description,Tool_type,Tool_type_descrition,Bordian_type,Flake_length,Flake_width,Flake_thickness,Exterior_platform_angle,Platform_width,Platform_thickness,Platform_type,Platform_description,Flake_termination,Flake_termination_description,Dorsal_flake_scar_count,Dorsal_flake_scar_orientation,Blank_form,Blank_form_description,Retouch,Retouch_side,Retouch_type,Backed,Edge_damage,Cortex_percentage,Cortex_description,Maximum_flake_scar_length,Maximum_flake_scar_width,Maximum_core_length,Maximum_core_width,Maximum_core_thickness,Core_cross_section,Core_cross_section_description,Recycling_indications,Recycling_description,Weathering_class,Weathering_description,Part,Life_stage,Size_class,Cutmarks,Burning,Complete,Ceramic_type,Color,Temper_size,Decorated,Decoration_description,Weight,Period,Problem,Problem_notes,Notes,Artifact_photo,Artifact_photo_URL,Platform_surface,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,_tags,_index,location,recycled,double_patina,Thickness,Length,Width
2022-02-14T04:39:57Z,2022-02-14T06:22:46Z,571,2022-02-14T06:08:00Z,Semizbugu 4,NA,NA,NA,NA,NA,NA,Emily Coco,collected,IMG_2153-12_9_13.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F8de7a481-cf0a-4a36-97ce-aaeccd351688%2FIMG_2153-12_9_13.jpg,broken_flake,NA,"black, fine-grained",flake,NA,proximal,NA,n/a,NA,NA,NA,NA,NA,77.45,78.72,23.81,NA,39.41,17.04,cortical,NA,NA,NA,5,multidirectional,NA,NA,TRUE,bifacial,notched_denticulated,NA,TRUE,50,"rough, black crust",NA,NA,NA,NA,NA,NA,NA,none,NA,mildly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.75,Paleolithic,FALSE,NA,NA,NA,NA,NA,141475293,8de7a481-cf0a-4a36-97ce-aaeccd351688,2022-02-14T07:10:21Z,NA,NA,submitted_via_web,NA,NA,416,Semizbugu 4,FALSE,FALSE,23.81,77.45,78.72
2022-02-14T06:22:47Z,2022-02-14T06:29:36Z,721,2022-02-14T06:25:00Z,Semizbugu 4,NA,NA,NA,NA,NA,NA,Emily Coco,collected,IMG_2154-12_26_18.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2Fb7bde343-283c-426c-85bb-78fc1ff883cb%2FIMG_2154-12_26_18.jpg,complete_flake,NA,"black, fine-grained",flake other,core fragment,NA,NA,n/a,NA,NA,NA,NA,NA,90.36,75.81,37.77,NA,8.41,4.84,plain,NA,plunge,NA,2,unidirectional,NA,NA,FALSE,NA,NA,NA,TRUE,75,red/brown pockmarked surface,NA,NA,NA,NA,NA,NA,NA,none,NA,mildly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.81,Paleolithic,FALSE,NA,NA,NA,NA,NA,141475297,b7bde343-283c-426c-85bb-78fc1ff883cb,2022-02-14T07:10:22Z,NA,NA,submitted_via_web,NA,NA,417,Semizbugu 4,FALSE,FALSE,37.77,90.36,75.81
2022-02-14T06:29:36Z,2022-02-14T06:53:27Z,80,2022-02-14T06:49:00Z,Semizbugu 4,NA,NA,NA,NA,NA,NA,Emily Coco,collected,IMG_2155-12_50_3.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F8119b651-88c9-48f1-8efb-d7502dd788b7%2FIMG_2155-12_50_3.jpg,tool,NA,"black, fine-grained",NA,NA,NA,NA,NA,NA,NA,denticulate,NA,43,91.7,83.62,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake,NA,TRUE,bifacial,scalar notched_denticulated,NA,TRUE,10,orange/grey smoothed pockmarked surface,NA,NA,NA,NA,NA,NA,NA,none,NA,other,"strongly weathered on dorsal side, weakly weathered on ventral side",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.69,Paleolithic,FALSE,NA,NA,NA,NA,NA,141475304,8119b651-88c9-48f1-8efb-d7502dd788b7,2022-02-14T07:10:24Z,NA,NA,submitted_via_web,NA,NA,418,Semizbugu 4,FALSE,FALSE,18.4,91.7,83.62
2022-02-14T07:01:17Z,2022-02-14T07:27:07Z,70,2022-02-14T07:06:00Z,Semizbugu 4,NA,NA,NA,NA,NA,NA,Emily Coco,collected,sem4_70-13_8_18.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F2728726d-a3c4-48f8-9ce3-732727478821%2Fsem4_70-13_8_18.jpg,tool,NA,"black, fine-grained",NA,NA,NA,NA,NA,NA,NA,biface,NA,NA,116.14,97.77,31.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake,NA,TRUE,bifacial,invasive,NA,TRUE,35,beige surface,NA,NA,NA,NA,NA,NA,NA,none,NA,weakly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428,Paleolithic,FALSE,NA,NA,NA,NA,NA,141478621,2728726d-a3c4-48f8-9ce3-732727478821,2022-02-14T07:35:24Z,NA,NA,submitted_via_web,NA,NA,420,Semizbugu 4,FALSE,FALSE,31.39,116.14,97.77
2022-02-14T07:27:07Z,2022-02-14T07:39:46Z,556,2022-02-14T07:34:00Z,Semizbugu 4,NA,NA,NA,NA,NA,NA,Emily Coco,collected,IMG_2160-13_36_5.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2Fd0030624-a527-48ab-a85d-6b67597c616b%2FIMG_2160-13_36_5.jpg,tool,NA,"black, fine-grained",NA,NA,NA,NA,NA,NA,NA,sidescraper,NA,10,81.24,64.84,19.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake,NA,TRUE,bifacial,stepped,NA,TRUE,60,Reddish-brown heavily weathered pockmarked surface,NA,NA,NA,NA,NA,NA,NA,double_patina,retouch on dorsal and ventral side that cuts previous flake scars,strongly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.45,Paleolithic,FALSE,NA,NA,NA,NA,NA,141486311,d0030624-a527-48ab-a85d-6b67597c616b,2022-02-14T08:30:28Z,NA,NA,submitted_via_web,NA,NA,421,Semizbugu 4,TRUE,TRUE,19.71,81.24,64.84
2022-02-14T07:39:46Z,2022-02-14T07:46:52Z,722,2022-02-14T07:41:00Z,Semizbugu 4,NA,NA,NA,NA,NA,NA,Emily Coco,collected,IMG_2162-13_42_47.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F9f4949b5-bf27-43f9-936d-867c263b4f17%2FIMG_2162-13_42_47.jpg,tool,NA,"black, fine-grained",NA,NA,NA,NA,NA,NA,NA,other,borer,35,87.35,87.66,19.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake,NA,TRUE,bifacial,stepped other,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,double_patina,removals on all flake margins that cut weathered flake scars,mildly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.01,Paleolithic,FALSE,NA,NA,NA,NA,NA,141486318,9f4949b5-bf27-43f9-936d-867c263b4f17,2022-02-14T08:30:29Z,NA,NA,submitted_via_web,NA,NA,422,Semizbugu 4,TRUE,TRUE,19.63,87.35,87.66
2022-02-14T07:46:52Z,2022-02-14T07:54:22Z,711,2022-02-14T07:49:00Z,Semizbugu 4,NA,NA,NA,NA,NA,NA,Emily Coco,collected,IMG_2163-13_49_28.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F4c7d39d4-f50b-4b95-aac0-dd5b5c685ae9%2FIMG_2163-13_49_28.jpg,tool,NA,"black, fine-grained",NA,NA,NA,NA,NA,NA,NA,sidescraper other,possible alternate retouch bec,62,73.21,68.98,15.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake,NA,TRUE,bifacial,stepped,NA,TRUE,15,red/beige smooth crust,NA,NA,NA,NA,NA,NA,NA,double_patina,retouch cuts weathered flake scar on ventral surface,mildly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.2,Paleolithic,FALSE,NA,NA,NA,NA,NA,141486323,4c7d39d4-f50b-4b95-aac0-dd5b5c685ae9,2022-02-14T08:30:30Z,NA,NA,submitted_via_web,NA,NA,423,Semizbugu 4,TRUE,TRUE,15.44,73.21,68.98
2022-02-14T07:54:23Z,2022-02-14T08:01:50Z,314,2022-02-14T07:56:00Z,Semizbugu 4,NA,NA,NA,NA,NA,NA,Emily Coco,collected,IMG_2164-13_56_59.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F734e0334-8050-4680-9290-41218e697f87%2FIMG_2164-13_56_59.jpg,tool,NA,"black, fine-grained",NA,NA,NA,NA,NA,NA,NA,other,knife,38,112.19,43.88,28.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,blocky_fragment,NA,TRUE,NA,stepped scalar invasive,NA,TRUE,95,"one rough surface, one reddened smoothed surface",NA,NA,NA,NA,NA,NA,NA,none,NA,weakly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141.18,Paleolithic,FALSE,NA,NA,NA,NA,NA,141486328,734e0334-8050-4680-9290-41218e697f87,2022-02-14T08:30:32Z,NA,NA,submitted_via_web,NA,NA,424,Semizbugu 4,FALSE,FALSE,28.07,112.19,43.88
2022-02-14T08:01:50Z,2022-02-14T08:10:48Z,479,2022-02-14T08:04:00Z,Semizbugu 4,NA,NA,NA,NA,NA,NA,Emily Coco,collected,IMG_2165-14_4_21.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F1d233578-bca4-47e9-90f1-1d208ca32a28%2FIMG_2165-14_4_21.jpg,complete_flake,NA,"black, fine-grained",flake,NA,NA,NA,n/a,NA,NA,NA,NA,NA,71.01,73.72,20.77,NA,64.96,19.71,cortical,NA,hinge,NA,3,radial,NA,NA,TRUE,bifacial,scalar,NA,TRUE,5,heavily pockmarked surface,NA,NA,NA,NA,NA,NA,NA,double_patina,some retouch cuts weathered flake scars,strongly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.5,Paleolithic,FALSE,NA,NA,NA,NA,NA,141486331,1d233578-bca4-47e9-90f1-1d208ca32a28,2022-02-14T08:30:33Z,NA,NA,submitted_via_web,NA,NA,425,Semizbugu 4,TRUE,TRUE,20.77,71.01,73.72
2022-02-14T08:10:48Z,2022-02-14T08:19:39Z,619,2022-02-14T08:12:00Z,Semizbugu 4,NA,NA,NA,NA,NA,NA,Emily Coco,collected,IMG_2166-14_14_0.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F4f207aba-aeec-4f78-a0c2-70db82905134%2FIMG_2166-14_14_0.jpg,complete_flake,NA,"grey, fine-grained",flake,NA,NA,NA,n/a,NA,NA,NA,NA,NA,81.11,41.61,13.81,NA,29.43,8.71,cortical other,cortical platform with some modern edge damage,feather,NA,3,unidirectional,NA,NA,TRUE,dorsal,scalar,NA,TRUE,15,"heavily pockmarked crust, brown/black",NA,NA,NA,NA,NA,NA,NA,double_patina,some retouch on distal edge that is unweathered,strongly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.71,Paleolithic,FALSE,NA,NA,NA,NA,NA,141486336,4f207aba-aeec-4f78-a0c2-70db82905134,2022-02-14T08:30:34Z,NA,NA,submitted_via_web,NA,NA,426,Semizbugu 4,TRUE,TRUE,13.81,81.11,41.61
