start,end,Id_number,Date,Site_name,point,_point_latitude,_point_longitude,_point_altitude,_point_precision,Collector,Recorder,Collecting_method,Photo,Photo_URL,Artifact_type,Artifact_description,Raw_material_description,Flake_type,Flake_type_description,Flake_fragment,Flake_fragment_description,Technology_type,Core_type,Core_type_description,Tool_type,Tool_type_descrition,Bordian_type,Flake_length,Flake_width,Flake_thickness,Exterior_platform_angle,Platform_width,Platform_thickness,Platform_type,Platform_description,Flake_termination,Flake_termination_description,Dorsal_flake_scar_count,Dorsal_flake_scar_orientation,Blank_form,Blank_form_description,Retouch,Retouch_side,Retouch_type,Backed,Edge_damage,Cortex_percentage,Cortex_description,Maximum_flake_scar_length,Maximum_flake_scar_width,Maximum_core_length,Maximum_core_width,Maximum_core_thickness,Core_cross_section,Core_cross_section_description,Recycling_indications,Recycling_description,Weathering_class,Weathering_description,Part,Life_stage,Size_class,Cutmarks,Burning,Complete,Ceramic_type,Color,Temper_size,Decorated,Decoration_description,Weight,Period,Problem,Problem_notes,Notes,Artifact_photo,Artifact_photo_URL,Platform_surface,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,_tags,_index,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name,location,recycled,double_patina,Thickness,Length,Width
2022-06-19T05:03:23Z,2022-06-20T04:23:58Z,906,2022-06-20T04:21:00Z,Square 6,47.14161685 77.83574146 697.281,47.14161685,77.83574146,697.281,NA,NA,Emily Coco,observed,1655698923022.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2Febc6519e-1a67-4edf-a48a-be03a46dd271%2F1655698923022.jpg,broken_flake,NA,"black, fine grained",flake,NA,distal,NA,n/a,NA,NA,NA,NA,NA,36.37,27.85,7.48,NA,NA,NA,NA,NA,feather,NA,4,unidirectionaldirectionaldirectional,NA,NA,FALSE,NA,NA,NA,TRUE,50,"beige, rough",NA,NA,NA,NA,NA,NA,NA,none,NA,mildly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.25,NA,NA,NA,NA,NA,NA,NA,166226013,ebc6519e-1a67-4edf-a48a-be03a46dd271,2022-06-28T07:40:40Z,NA,NA,submitted_via_web,ec3307,NA,1604,NA,NA,NA,NA,77.83574146,47.14161685,697.281,0.012,0.013,0.025,0.018,2.334,m,FIX,2022-06-20 10:20:33.8 UTC+06:00,2022-06-20 10:20:38.8 UTC+06:00,26,1.2,NA,NA,NA,77.83625,47.14148,694.684,41.759,Global CS,Semizbugu P5,FALSE,FALSE,7.48,36.37,27.85
2022-06-20T04:24:17Z,2022-06-20T04:26:48Z,907,2022-06-20T04:24:00Z,Square 6,47.14161608 77.8357374 697.214,47.14161608,77.8357374,665.514,NA,NA,Emily Coco,observed,1655699093937.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F4a2eaf55-a7f5-4170-a722-6e9b230f203a%2F1655699093937.jpg,complete_flake,NA,"black, fine grained",flake,NA,NA,NA,n/a,NA,NA,NA,NA,NA,27.87,20.01,4.46,NA,10.76,4.09,dihedral faceted,NA,hinge,NA,2,unidirectionaldirectionaldirectional,NA,NA,FALSE,NA,NA,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,mildly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.97,NA,NA,NA,NA,NA,NA,NA,166226029,4a2eaf55-a7f5-4170-a722-6e9b230f203a,2022-06-28T07:40:43Z,NA,NA,submitted_via_web,ec3307,NA,1605,NA,NA,NA,NA,77.8357374,47.14161608,697.214,0.018,0.019,0.033,0.026,2.334,m,FIX,2022-06-20 10:24:09.8 UTC+06:00,2022-06-20 10:24:14.8 UTC+06:00,26,1.2,NA,NA,NA,77.83625,47.14148,694.684,42.015,Global CS,Semizbugu P5,FALSE,FALSE,4.46,27.87,20.01
2022-06-20T04:27:03Z,2022-06-20T04:29:09Z,908,2022-06-20T04:27:00Z,Square 6,47.14161614 77.83573906 697.175,47.141616139999996,77.83573906,665.475,NA,NA,Emily Coco,observed,1655699253916.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2Faee7d725-7e3a-43bb-932a-ba39a3717e75%2F1655699253916.jpg,tool,NA,"black, fine grained",NA,NA,NA,NA,NA,NA,NA,scraper,NA,10,51.35,39.04,10.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake,NA,TRUE,dorsal,scalar,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,core_on_flake_blade,"removals on ventral side, same weathering",strongly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.72,NA,NA,NA,NA,NA,NA,NA,166226042,aee7d725-7e3a-43bb-932a-ba39a3717e75,2022-06-28T07:40:46Z,NA,NA,submitted_via_web,ec3307,NA,1606,NA,NA,NA,NA,77.83573906,47.141616139999996,697.175,0.016,0.022,0.034,0.027,2.334,m,FIX,2022-06-20 10:26:56.6 UTC+06:00,2022-06-20 10:27:01.6 UTC+06:00,26,1.2,NA,NA,NA,77.83625,47.14148,694.684,41.874,Global CS,Semizbugu P5,TRUE,FALSE,10.37,51.35,39.04
2022-06-20T04:29:26Z,2022-06-20T04:32:28Z,909,2022-06-20T04:29:00Z,Square 6,47.14161161 77.83573174 697.207,47.14161161,77.83573174,665.507,NA,NA,Emily Coco,observed,1655699438193.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F82826030-69be-42f4-9075-02016370953a%2F1655699438193.jpg,tool,NA,"black, fine grained",NA,NA,NA,NA,NA,NA,NA,notch,NA,42,39.16,37.34,6.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake,NA,TRUE,dorsal,scalar stepped,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,double_patina,retouch in notch is less weathered,mildly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.19,NA,NA,NA,NA,NA,NA,NA,166226048,82826030-69be-42f4-9075-02016370953a,2022-06-28T07:40:50Z,NA,NA,submitted_via_web,ec3307,NA,1607,NA,NA,NA,NA,77.83573174,47.14161161,697.207,0.013,0.014,0.011,0.019,2.334,m,FIX,2022-06-20 10:29:20.2 UTC+06:00,2022-06-20 10:29:25.2 UTC+06:00,26,1.1,NA,NA,NA,77.83625,47.14148,694.684,42.224,Global CS,Semizbugu P5,TRUE,TRUE,6.08,39.16,37.34
2022-06-20T04:32:45Z,2022-06-20T04:35:06Z,910,2022-06-20T04:32:00Z,Square 6,47.14161111 77.83573259 697.157,47.14161111,77.83573259,665.457,NA,NA,Emily Coco,observed,1655699608510.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2Fa2da1ff2-8313-4736-83e4-9775134fff60%2F1655699608510.jpg,tool,NA,"grey/brown, fine grained",NA,NA,NA,NA,NA,NA,NA,denticulate,NA,43,48.06,33.41,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake,NA,TRUE,dorsal,scalar,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,double_patina,retouch cuts weathered dorsal scars,strongly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.07,NA,NA,NA,NA,NA,NA,NA,166226057,a2da1ff2-8313-4736-83e4-9775134fff60,2022-06-28T07:40:53Z,NA,NA,submitted_via_web,ec3307,NA,1608,NA,NA,NA,NA,77.83573259,47.14161111,697.157,0.014,0.013,0.019,0.019,2.334,m,FIX,2022-06-20 10:32:38.2 UTC+06:00,2022-06-20 10:32:43.2 UTC+06:00,26,1.3,NA,NA,NA,77.83625,47.14148,694.684,42.13,Global CS,Semizbugu P5,TRUE,TRUE,11.2,48.06,33.41
2022-06-20T04:35:21Z,2022-06-20T04:38:10Z,911,2022-06-20T04:35:00Z,Square 6,47.14160244 77.83572402 697.178,47.14160244,77.83572402,665.478,NA,NA,Emily Coco,observed,1655699754979.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F2f980f13-72d7-4730-9887-74718b4ad986%2F1655699754979.jpg,complete_flake,NA,"black, fine grained",flake,NA,NA,NA,n/a,NA,NA,NA,NA,NA,26.21,20.14,8.22,NA,18.3,8.23,faceted,NA,hinge,NA,3,bidirectional,NA,NA,FALSE,NA,NA,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,mildly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.93,NA,NA,NA,NA,NA,NA,NA,166226074,2f980f13-72d7-4730-9887-74718b4ad986,2022-06-28T07:40:57Z,NA,NA,submitted_via_web,ec3307,NA,1609,NA,NA,NA,NA,77.83572402,47.14160244,697.178,0.012,0.013,0.01,0.018,2.334,m,FIX,2022-06-20 10:35:15.0 UTC+06:00,2022-06-20 10:35:20.0 UTC+06:00,26,1.3,NA,NA,NA,77.83625,47.14148,694.684,42.422,Global CS,Semizbugu P5,FALSE,FALSE,8.22,26.21,20.14
2022-06-20T04:38:40Z,2022-06-20T04:40:58Z,912,2022-06-20T04:38:00Z,Square 6,47.14160134 77.83573292 697.142,47.14160134,77.83573292,665.442,NA,NA,Emily Coco,observed,1655699963490.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F6ab0f4e1-e141-4471-a681-998377d5e118%2F1655699963490.jpg,tool,NA,"black, fine grained",NA,NA,NA,NA,NA,NA,NA,scraper denticulate,NA,43,49.37,22.68,9.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake,NA,TRUE,bifacial,notched_denticulated scalar stepped,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,double_patina,retouch cuts weathering,strongly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.71,NA,NA,NA,NA,NA,NA,NA,166226096,6ab0f4e1-e141-4471-a681-998377d5e118,2022-06-28T07:41:02Z,NA,NA,submitted_via_web,ec3307,NA,1610,NA,NA,NA,NA,77.83573292,47.14160134,697.142,0.013,0.015,0.024,0.019,2.334,m,FIX,2022-06-20 10:38:33.2 UTC+06:00,2022-06-20 10:38:38.2 UTC+06:00,26,1.4,NA,NA,NA,77.83625,47.14148,694.684,41.767,Global CS,Semizbugu P5,TRUE,TRUE,9.25,49.37,22.68
2022-06-20T04:41:30Z,2022-06-20T04:44:11Z,913,2022-06-20T04:41:00Z,Square 6,47.14160315 77.83573513 697.127,47.14160315,77.83573513,665.427,NA,NA,Emily Coco,observed,1655700123328.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2Ffbf301d1-e6bc-4803-bf08-5180bb0d3967%2F1655700123328.jpg,complete_flake,NA,"black/grey, fine grained",flake,NA,NA,NA,n/a,NA,NA,NA,NA,NA,26.12,24.46,9.68,NA,NA,NA,other,punctiform,feather,NA,4,multidirectionaldirectionaldirectional,NA,NA,TRUE,bifacial,scalar,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,weakly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.19,NA,NA,NA,NA,NA,NA,NA,166226117,fbf301d1-e6bc-4803-bf08-5180bb0d3967,2022-06-28T07:41:07Z,NA,NA,submitted_via_web,ec3307,NA,1611,NA,NA,NA,NA,77.83573513,47.14160315,697.127,0.04,0.018,0.011,0.044,2.334,m,FIX,2022-06-20 10:41:23.2 UTC+06:00,2022-06-20 10:41:28.2 UTC+06:00,26,1.4,NA,NA,NA,77.83625,47.14148,694.684,41.645,Global CS,Semizbugu P5,FALSE,FALSE,9.68,26.12,24.46
2022-06-20T04:44:29Z,2022-06-20T04:47:25Z,914,2022-06-20T04:44:00Z,Square 6,47.14160146 77.8357377 697.073,47.14160146,77.8357377,665.373,NA,NA,Emily Coco,observed,1655700307385.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F0d50a2e4-ba88-42ee-b3af-2dd05ac691a8%2F1655700307385.jpg,complete_flake,NA,"grey, fine grained",flake,NA,NA,NA,n/a,NA,NA,NA,NA,NA,31.76,25.25,8.95,NA,5.63,2.55,dihedral,NA,feather,NA,6,multidirectionaldirectionaldirectional,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,mildly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,166226132,0d50a2e4-ba88-42ee-b3af-2dd05ac691a8,2022-06-28T07:41:12Z,NA,NA,submitted_via_web,ec3307,NA,1612,NA,NA,NA,NA,77.8357377,47.14160146,697.073,0.011,0.017,0.017,0.021,2.334,m,FIX,2022-06-20 10:44:23.2 UTC+06:00,2022-06-20 10:44:28.2 UTC+06:00,26,1.3,NA,NA,NA,77.83625,47.14148,694.684,41.404,Global CS,Semizbugu P5,FALSE,FALSE,8.95,31.76,25.25
2022-06-20T04:47:43Z,2022-06-20T04:49:58Z,915,2022-06-20T04:47:00Z,Square 6,47.14160164 77.83573598 697.093,47.14160164,77.83573598,665.393,NA,NA,Emily Coco,observed,1655700503516.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2Fe56fe8b4-0a48-44dc-9144-92d2e52bab62%2F1655700503516.jpg,tool,NA,"black, fine grained",NA,NA,NA,NA,NA,NA,NA,scraper,NA,9,56.74,39.21,15.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,blocky_fragment,NA,TRUE,dorsal,scalar,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,double_patina,two weathering stages of retouch thatoverlap,strongly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.13,NA,NA,NA,NA,NA,NA,NA,166226150,e56fe8b4-0a48-44dc-9144-92d2e52bab62,2022-06-28T07:41:17Z,NA,NA,submitted_via_web,ec3307,NA,1613,NA,NA,NA,NA,77.83573598,47.14160164,697.093,0.018,0.011,0.023,0.021,2.334,m,FIX,2022-06-20 10:47:36.6 UTC+06:00,2022-06-20 10:47:41.6 UTC+06:00,26,1.4,NA,NA,NA,77.83625,47.14148,694.684,41.52,Global CS,Semizbugu P5,TRUE,TRUE,15.13,56.74,39.21
