start,end,Date,Site_name,point,_point_latitude,_point_longitude,_point_altitude,_point_precision,Collector,Recorder,Collecting_method,Photo,Photo_URL,Aggregate_description,Screen_size,Burning,Bone,Microfauna,Pebbles,Small_platforms,Small_debris,Tiny_platforms,Tiny_debris,Core_count,Tool_count,Recycling_indications,Recycling_description,Number_recycled_objects,Weathering_class,Number_strongly_weathered_objects,Number_mildly_weathered_objects,Number_weakly_weathered_objects,Number_unweathered_objects,Weathering_description,Count,Weight,Problem,Problem_notes,Tool_count,Core_count,Notes,reach-view-num,Date_recorded,Aggregate_photo,Aggregate_photo_URL,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,_tags,_index
2022-07-25T01:54:52Z,2022-07-25T02:06:01Z,NA,Semizbugu survey,47.14188818666667 77.83506683 667.18603515625 0.0,47.14188819,77.83506683,667.1860352,0,NA,Emily Coco,observed,1658714232617.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2F93c9a22ec65942c888b25e0a7876fee8%2Fb460c06e-eb4a-4e3d-add8-59509126534e%2F1658714232617.jpg,1 meter radius circle,NA,FALSE,FALSE,FALSE,TRUE,1,3,NA,NA,NA,NA,double_patina,1- tool with less weathered retouch,1,other,NA,3,1,NA,"3-mildly, 1-weakly",4,88.48,FALSE,NA,2,,"2504
2-denticulates
0- cortex",2504,2022-07-25T01:54:00Z,NA,NA,173115600,b460c06e-eb4a-4e3d-add8-59509126534e,2022-08-01T04:55:06Z,NA,NA,submitted_via_web,ec3307,NA,1
2022-07-25T02:11:38Z,2022-07-25T02:14:25Z,NA,Semizbugu survey,47.141938446666664 77.83478670833334 665.0339965820312 0.0,47.14193845,77.83478671,665.0339966,0,NA,Emily Coco,observed,1658715154906.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2F93c9a22ec65942c888b25e0a7876fee8%2Fde0d87ba-5655-48d0-8620-ba76853db582%2F1658715154906.jpg,1 meter Circle,NA,FALSE,FALSE,FALSE,TRUE,NA,1,NA,NA,NA,NA,none,NA,NA,other,1,NA,NA,NA,1-strongly,1,16.32,FALSE,NA,1,,"2505
1- scraper",2505,2022-07-25T02:11:00Z,NA,NA,173115608,de0d87ba-5655-48d0-8620-ba76853db582,2022-08-01T04:55:12Z,NA,NA,submitted_via_web,ec3307,NA,2
2022-07-25T02:16:24Z,2022-07-25T02:20:19Z,NA,Semizbugu survey,47.141989556666665 77.83449129166667 662.64599609375 0.0,47.14198956,77.83449129,662.6459961,0,NA,Emily Coco,observed,1658715464909.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2F93c9a22ec65942c888b25e0a7876fee8%2Fb627fc76-9fa6-4778-845b-9dc04081d33c%2F1658715464909.jpg,1 meter circle,NA,FALSE,FALSE,TRUE,TRUE,1,2,NA,NA,NA,NA,double_patina,1- artifact with less weathered retouch,1,other,3,NA,NA,NA,3- Strongly,3,40.51,NA,NA,2,,"2506
2-notches
O- cortex",2506,2022-07-25T02:16:00Z,NA,NA,173115654,b627fc76-9fa6-4778-845b-9dc04081d33c,2022-08-01T04:55:23Z,NA,NA,submitted_via_web,ec3307,NA,3
2022-07-25T02:29:13Z,2022-07-25T02:32:13Z,NA,Semizbugu survey,47.14205902333333 77.83422563666667 660.3510131835938 0.0,47.14205902,77.83422564,660.3510132,0,NA,Emily Coco,observed,1658716245816.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2F93c9a22ec65942c888b25e0a7876fee8%2F15c6c45a-b633-4cae-9f3d-62abb2ac5f40%2F1658716245816.jpg,1 meter circle,NA,FALSE,FALSE,FALSE,TRUE,NA,1,NA,NA,NA,NA,none,NA,NA,strongly_weathered,1,NA,NA,NA,1 -strongly,1,7.36,FALSE,NA,,,2507,2507,2022-07-25T02:29:00Z,NA,NA,173115664,15c6c45a-b633-4cae-9f3d-62abb2ac5f40,2022-08-01T04:55:30Z,NA,NA,submitted_via_web,ec3307,NA,4
2022-07-25T02:37:31Z,2022-07-25T02:43:07Z,NA,Semizbug u survey,47.14212210666667 77.83398376833334 658.3270263671875 0.0,47.14212211,77.83398377,658.3270264,0,NA,Emily Coco,observed,1658716737039.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2F93c9a22ec65942c888b25e0a7876fee8%2F1c5a79ba-37f9-454a-a9b9-9031c2682dc6%2F1658716737039.jpg,1 meter circle,NA,FALSE,FALSE,FALSE,TRUE,3,2,NA,NA,NA,NA,double_patina,2- tools with less weathered retouch,2,other,NA,4,NA,NA,"4-mildly
1-strongly",5,378.03,NA,NA,3,,"2508
3- denticulates
25- total cortex",2508,2022-07-25T02:37:00Z,NA,NA,173115671,1c5a79ba-37f9-454a-a9b9-9031c2682dc6,2022-08-01T04:55:41Z,NA,NA,submitted_via_web,ec3307,NA,5
2022-07-25T02:45:01Z,2022-07-25T02:47:06Z,NA,Semizbugu survey,47.14217226833333 77.83371029166666 656.1849975585938 0.0,47.14217227,77.83371029,656.1849976,0,NA,Emily Coco,observed,1658717188786.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2F93c9a22ec65942c888b25e0a7876fee8%2F09b7c1de-b8a2-4e39-b2aa-17c9be9cd4ad%2F1658717188786.jpg,1 meter circle,NA,FALSE,FALSE,FALSE,TRUE,0,0,NA,NA,NA,NA,none,NA,NA,other,NA,NA,NA,NA,no artifacts,0,0,FALSE,NA,,,2509,2509,2022-07-25T02:45:00Z,NA,NA,173115677,09b7c1de-b8a2-4e39-b2aa-17c9be9cd4ad,2022-08-01T04:55:45Z,NA,NA,submitted_via_web,ec3307,NA,6
2022-07-25T02:54:26Z,2022-07-25T02:59:28Z,NA,Semizbugu survey,47.142207291666665 77.83343288 654.5159912109375 0.0,47.14220729,77.83343288,654.5159912,0,NA,Emily Coco,observed,1658717779309.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2F93c9a22ec65942c888b25e0a7876fee8%2F23392870-5284-4e4c-841f-07766159e17d%2F1658717779309.jpg,1 meter radius circle,NA,FALSE,FALSE,FALSE,TRUE,0,3,NA,NA,NA,NA,double_patina,1- tools with less weathered retouch,1,other,2,NA,NA,NA,"2-strongly
1- weakly",3,32.01,FALSE,NA,2,,"2510
1 -denticulate 
1-scraper",2510,2022-07-25T02:54:00Z,NA,NA,173115689,23392870-5284-4e4c-841f-07766159e17d,2022-08-01T04:55:52Z,NA,NA,submitted_via_web,ec3307,NA,7
2022-07-25T03:01:53Z,2022-07-25T03:03:47Z,NA,Semizbugu survey,47.14223801333333 77.83315325666666 653.1849975585938 0.0,47.14223801,77.83315326,653.1849976,0,NA,Emily Coco,observed,1658718192950.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2F93c9a22ec65942c888b25e0a7876fee8%2F1167fcd1-015e-4f72-a929-b28681892ad4%2F1658718192950.jpg,1 meter radius circle,NA,FALSE,FALSE,FALSE,FALSE,0,NA,NA,NA,NA,NA,none,NA,NA,other,NA,NA,NA,NA,No artifacts,0,0,FALSE,NA,,,2511,2511,2022-07-25T03:01:00Z,NA,NA,173115704,1167fcd1-015e-4f72-a929-b28681892ad4,2022-08-01T04:56:12Z,NA,NA,submitted_via_web,ec3307,NA,8
2022-07-25T03:05:54Z,2022-07-25T03:10:01Z,NA,Semizbugu survey,47.14226256166667 77.832883485 652.02099609375 0.0,47.14226256,77.83288349,652.0209961,0,NA,Emily Coco,observed,1658718387626.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2F93c9a22ec65942c888b25e0a7876fee8%2Fef15a33d-c33f-48a3-90f9-193d12e45da8%2F1658718387626.jpg,1 meter radius Circle,NA,FALSE,FALSE,FALSE,TRUE,1,1,NA,NA,NA,NA,none,NA,NA,other,2,NA,NA,NA,2- strongly,2,70.55,FALSE,NA,2,,"2512
1- denticulate
1- percoir",2512,2022-07-25T03:05:00Z,NA,NA,173115719,ef15a33d-c33f-48a3-90f9-193d12e45da8,2022-08-01T04:56:24Z,NA,NA,submitted_via_web,ec3307,NA,9
2022-07-25T03:21:31Z,2022-07-25T03:24:06Z,NA,Semizbugu survey,47.142299963333336 77.83260026833334 651.8550415039062 0.0,47.14229996,77.83260027,651.8550415,0,NA,Emily Coco,observed,1658719369694.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2F93c9a22ec65942c888b25e0a7876fee8%2F7bbe82ed-4e16-4a71-94f1-0d0a6ef17258%2F1658719369694.jpg,1 meter radius c ircle,NA,FALSE,FALSE,FALSE,TRUE,0,0,NA,NA,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,NA,,,"2513
no artifacts despite presence of large cobbles /slabs, but different raw maternal - not as good",2513,2022-07-25T03:21:00Z,NA,NA,173115726,7bbe82ed-4e16-4a71-94f1-0d0a6ef17258,2022-08-01T04:56:30Z,NA,NA,submitted_via_web,ec3307,NA,10
