start,end,Id_number,Date,Site_name,point,_point_latitude,_point_longitude,_point_altitude,_point_precision,Collector,Recorder,Collecting_method,Photo,Photo_URL,Artifact_type,Artifact_description,Raw_material_description,Flake_type,Flake_type_description,Flake_fragment,Flake_fragment_description,Technology_type,Core_type,Core_type_description,Tool_type,Tool_type_descrition,Bordian_type,Flake_length,Flake_width,Flake_thickness,Exterior_platform_angle,Platform_width,Platform_thickness,Platform_type,Platform_description,Flake_termination,Flake_termination_description,Dorsal_flake_scar_count,Dorsal_flake_scar_orientation,Blank_form,Blank_form_description,Retouch,Retouch_side,Retouch_type,Backed,Edge_damage,Cortex_percentage,Cortex_description,Maximum_flake_scar_length,Maximum_flake_scar_width,Maximum_core_length,Maximum_core_width,Maximum_core_thickness,Core_cross_section,Core_cross_section_description,Recycling_indications,Recycling_description,Weathering_class,Weathering_description,Part,Life_stage,Size_class,Cutmarks,Burning,Complete,Ceramic_type,Color,Temper_size,Decorated,Decoration_description,Weight,Period,Problem,Problem_notes,Notes,Artifact_photo,Artifact_photo_URL,Platform_surface,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,_tags,_index,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
2022-07-16T12:11:56Z,2022-07-16T12:16:46Z,1398,2022-07-16T12:12:00Z,Square 7,47.14182634 77.83562183 667.311,47.14182634,77.83562183,667.311,NA,NA,Emily Coco,observed,1657973625397.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2Fb6be4d24-979f-4061-be88-c65c7f1feb60%2F1657973625397.jpg,complete_flake,NA,"black/grey, fine grained",flake,NA,NA,NA,n/a,NA,NA,NA,NA,NA,26.27,18.86,7.53,NA,4.89,2.94,faceted,NA,other,truncated,2,unidirectionaldirectional,NA,NA,FALSE,NA,NA,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,mildly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.31,NA,NA,NA,NA,NA,NA,NA,173108058,b6be4d24-979f-4061-be88-c65c7f1feb60,2022-08-01T03:27:59Z,NA,NA,submitted_via_web,ec3307,NA,2097,NA,NA,NA,NA,77.83562183,47.14182634,667.311,0.011,0.01,0.01,0.015,2.334,m,FIX,2022-07-16 18:12:31.2 UTC+06:00,2022-07-16 18:12:36.2 UTC+06:00,26,1.2,NA,NA,NA,77.8362499,47.1414816,662.914,61.522,Global CS
2022-07-16T12:17:11Z,2022-07-16T12:19:58Z,1399,2022-07-16T12:17:00Z,Square 7,47.14182321 77.83562088 667.268,47.14182321,77.83562088,667.268,NA,NA,Emily Coco,observed,1657973905414.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2Fdc6e8173-59c5-47d0-9d67-ccb31a70cb1f%2F1657973905414.jpg,tool,NA,"black, fine grained",NA,NA,NA,NA,NA,NA,NA,denticulate,NA,43,49.11,27.93,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake,NA,TRUE,dorsal,notched_denticulated,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,double_patina,denticulate retouch cuts weathered dorsal scar,strongly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.62,NA,NA,NA,NA,NA,NA,NA,173108063,dc6e8173-59c5-47d0-9d67-ccb31a70cb1f,2022-08-01T03:28:02Z,NA,NA,submitted_via_web,ec3307,NA,2098,NA,NA,NA,NA,77.83562088,47.14182321,667.268,0.01,0.011,0.01,0.015,2.334,m,FIX,2022-07-16 18:17:01.0 UTC+06:00,2022-07-16 18:17:06.0 UTC+06:00,26,1.1,NA,NA,NA,77.8362499,47.1414816,662.914,61.354,Global CS
2022-07-16T12:20:14Z,2022-07-16T12:23:03Z,1400,2022-07-16T12:20:00Z,Square 7,47.14182152 77.83561782 667.26,47.14182152,77.83561782,667.26,NA,NA,Emily Coco,observed,1657974064701.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2Fc32c95f2-66b9-4219-bb27-3b9cc542f6e4%2F1657974064701.jpg,tool,NA,"black, less fine grained",NA,NA,NA,NA,NA,NA,NA,scraper,NA,31,42.78,23.38,8.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake,NA,TRUE,bifacial,stepped,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,double_patina,removals that cut weathering,mildly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.74,NA,NA,NA,NA,NA,NA,NA,173108067,c32c95f2-66b9-4219-bb27-3b9cc542f6e4,2022-08-01T03:28:05Z,NA,NA,submitted_via_web,ec3307,NA,2099,NA,NA,NA,NA,77.83561782,47.14182152,667.26,0.012,0.012,0.01,0.017,2.334,m,FIX,2022-07-16 18:20:04.4 UTC+06:00,2022-07-16 18:20:09.4 UTC+06:00,26,1.1,NA,NA,NA,77.8362499,47.1414816,662.914,61.427,Global CS
2022-07-16T12:23:19Z,2022-07-16T12:25:50Z,1401,2022-07-16T12:23:00Z,Square 7,47.14182418 77.83561594 667.292,47.14182418,77.83561594,667.292,NA,NA,Emily Coco,observed,1657974247348.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F70d63dbd-543c-4ceb-b220-09543304fa66%2F1657974247348.jpg,complete_flake,NA,"black, fine grained",flake,NA,NA,NA,n/a,NA,NA,NA,NA,NA,20.8,11.94,3.9,NA,6.12,1.96,plain,NA,feather,NA,3,unidirectionaldirectional,NA,NA,FALSE,NA,NA,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,weakly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03,NA,NA,NA,NA,NA,NA,NA,173108074,70d63dbd-543c-4ceb-b220-09543304fa66,2022-08-01T03:28:08Z,NA,NA,submitted_via_web,ec3307,NA,2100,NA,NA,NA,NA,77.83561594,47.14182418,667.292,0.014,0.016,0.01,0.021,2.334,m,FIX,2022-07-16 18:23:08.8 UTC+06:00,2022-07-16 18:23:13.8 UTC+06:00,26,1,NA,NA,NA,77.8362499,47.1414816,662.914,61.704,Global CS
2022-07-16T12:26:05Z,2022-07-16T12:28:52Z,1402,2022-07-16T12:26:00Z,Square 7,47.14182568 77.83561635 667.277,47.14182568,77.83561635,667.277,NA,NA,Emily Coco,observed,1657974394596.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2Faafcb276-7aec-4e2f-8bb1-e57a499658cc%2F1657974394596.jpg,complete_flake,NA,"black, fine grained",flake,NA,NA,NA,n/a,NA,NA,NA,NA,NA,37.49,30.32,8.68,NA,13.94,5.25,faceted,NA,other,truncated,7,bidirectional,NA,NA,FALSE,NA,NA,NA,TRUE,10,"black/brown, smoothed",NA,NA,NA,NA,NA,NA,NA,none,NA,weakly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.03,NA,NA,NA,NA,NA,NA,NA,173108079,aafcb276-7aec-4e2f-8bb1-e57a499658cc,2022-08-01T03:28:11Z,NA,NA,submitted_via_web,ec3307,NA,2101,NA,NA,NA,NA,77.83561635,47.14182568,667.277,0.016,0.012,0.01,0.02,2.334,m,FIX,2022-07-16 18:25:55.8 UTC+06:00,2022-07-16 18:26:00.8 UTC+06:00,26,1,NA,NA,NA,77.8362499,47.1414816,662.914,61.795,Global CS
2022-07-16T12:29:10Z,2022-07-16T12:31:53Z,1403,2022-07-16T12:29:00Z,Square 7,47.14182861 77.83560736 667.308,47.14182861,77.83560736,667.308,NA,NA,Emily Coco,observed,1657974597996.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F5f08b97c-5a27-4f77-8843-1a153ad14e6a%2F1657974597996.jpg,tool,NA,"black, fine grained",NA,NA,NA,NA,NA,NA,NA,other point,percoir,35,70.33,42.24,11.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,blocky_fragment,NA,TRUE,dorsal,invasive scalar,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,double_patina,some retouch cuts weathered retouch,mildly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.63,NA,NA,NA,NA,NA,NA,NA,173108084,5f08b97c-5a27-4f77-8843-1a153ad14e6a,2022-08-01T03:28:14Z,NA,NA,submitted_via_web,ec3307,NA,2102,NA,NA,NA,NA,77.83560736,47.14182861,667.308,0.011,0.011,0.01,0.016,2.334,m,FIX,2022-07-16 18:28:59.8 UTC+06:00,2022-07-16 18:29:04.8 UTC+06:00,26,1,NA,NA,NA,77.8362499,47.1414816,662.914,62.524,Global CS
2022-07-16T12:32:10Z,2022-07-16T12:34:50Z,1404,2022-07-16T12:32:00Z,Square 7,47.14182804 77.83560514 667.304,47.14182804,77.83560514,667.304,NA,NA,Emily Coco,observed,1657974765105.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F852308f4-cd07-4339-a9eb-ad52ca4e4e36%2F1657974765105.jpg,broken_flake,NA,"black, less fine grained",flake,NA,distal,NA,n/a,NA,NA,NA,NA,NA,21.91,12.53,3.49,NA,NA,NA,NA,NA,hinge,NA,3,multidirectionaldirectional,NA,NA,FALSE,NA,NA,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,weakly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,NA,NA,NA,NA,NA,NA,NA,173108086,852308f4-cd07-4339-a9eb-ad52ca4e4e36,2022-08-01T03:28:16Z,NA,NA,submitted_via_web,ec3307,NA,2103,NA,NA,NA,NA,77.83560514,47.14182804,667.304,0.024,0.015,0.01,0.028,2.334,m,FIX,2022-07-16 18:31:59.6 UTC+06:00,2022-07-16 18:32:04.6 UTC+06:00,26,1,NA,NA,NA,77.8362499,47.1414816,662.914,62.614,Global CS
2022-07-16T12:35:07Z,2022-07-16T12:38:51Z,1405,2022-07-16T12:35:00Z,Square 7,47.14182974 77.83559994 667.305,47.14182974,77.83559994,667.305,NA,NA,Emily Coco,observed,1657974958947.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F6fabb004-69eb-4f81-a44d-ac0d42394200%2F1657974958947.jpg,complete_flake,NA,"black, fine grained",flake,NA,NA,NA,n/a,NA,NA,NA,NA,NA,76.89,55.21,27.58,NA,52.46,28.58,plain,NA,feather,NA,6,multidirectionaldirectional,NA,NA,FALSE,NA,NA,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,core_on_flake_blade,"removals from ventral side, same weathering",strongly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.9,NA,NA,NA,NA,NA,NA,NA,173108089,6fabb004-69eb-4f81-a44d-ac0d42394200,2022-08-01T03:28:20Z,NA,NA,submitted_via_web,ec3307,NA,2104,NA,NA,NA,NA,77.83559994,47.14182974,667.305,0.013,0.015,0.01,0.02,2.334,m,FIX,2022-07-16 18:34:57.0 UTC+06:00,2022-07-16 18:35:02.0 UTC+06:00,26,1,NA,NA,NA,77.8362499,47.1414816,662.914,63.048,Global CS
2022-07-16T12:39:11Z,2022-07-16T12:42:23Z,1406,2022-07-16T12:39:00Z,Square 7,47.1418295 77.83560134 667.315,47.1418295,77.83560134,667.315,NA,NA,Emily Coco,observed,1657975189056.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2Fb7c170a7-092c-46b9-b37f-0b37a2eadc99%2F1657975189056.jpg,complete_flake,NA,"black, less fine grained",flake,NA,NA,NA,n/a,NA,NA,NA,NA,NA,66.83,45.25,14.97,NA,32.46,9.97,cortical,NA,other,truncated,4,multidirectionaldirectional,NA,NA,FALSE,NA,NA,NA,FALSE,60,brown with small pock marking,NA,NA,NA,NA,NA,NA,NA,core_on_flake_blade double_patina,ventral side removal that cuts weathered Surface,mildly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.69,NA,NA,NA,NA,NA,NA,NA,173108091,b7c170a7-092c-46b9-b37f-0b37a2eadc99,2022-08-01T03:28:23Z,NA,NA,submitted_via_web,ec3307,NA,2105,NA,NA,NA,NA,77.83560134,47.1418295,667.315,0.011,0.011,0.01,0.015,2.334,m,FIX,2022-07-16 18:39:01.6 UTC+06:00,2022-07-16 18:39:06.6 UTC+06:00,26,0.9,NA,NA,NA,77.8362499,47.1414816,662.914,62.953,Global CS
2022-07-16T12:42:40Z,2022-07-16T12:45:10Z,1407,2022-07-16T12:42:00Z,Square 7,47.14182912 77.8356002 667.342,47.14182912,77.8356002,667.342,NA,NA,Emily Coco,observed,1657975399114.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2Ff41898d9-4acb-487d-88b8-743e4b6855eb%2F1657975399114.jpg,complete_flake,NA,"black, fine grained",bladelet,NA,NA,NA,blade,NA,NA,NA,NA,NA,19.32,9.01,3.78,NA,8.84,3.72,cortical,NA,hinge,NA,1,unidirectionaldirectional,NA,NA,FALSE,NA,NA,NA,TRUE,15,"black, rough",NA,NA,NA,NA,NA,NA,NA,none,NA,weakly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,NA,NA,NA,NA,NA,NA,NA,173108095,f41898d9-4acb-487d-88b8-743e4b6855eb,2022-08-01T03:28:26Z,NA,NA,submitted_via_web,ec3307,NA,2106,NA,NA,NA,NA,77.8356002,47.14182912,667.342,0.011,0.011,0.01,0.015,2.334,m,FIX,2022-07-16 18:42:30.8 UTC+06:00,2022-07-16 18:42:35.8 UTC+06:00,26,1.1,NA,NA,NA,77.8362499,47.1414816,662.914,62.993,Global CS
