start,end,Id_number,Date,Site_name,point,_point_latitude,_point_longitude,_point_altitude,_point_precision,Collector,Recorder,Collecting_method,Photo,Photo_URL,Artifact_type,Artifact_description,Raw_material_description,Flake_type,Flake_type_description,Flake_fragment,Flake_fragment_description,Technology_type,Core_type,Core_type_description,Tool_type,Tool_type_descrition,Bordian_type,Flake_length,Flake_width,Flake_thickness,Exterior_platform_angle,Platform_width,Platform_thickness,Platform_type,Platform_description,Flake_termination,Flake_termination_description,Dorsal_flake_scar_count,Dorsal_flake_scar_orientation,Blank_form,Blank_form_description,Retouch,Retouch_side,Retouch_type,Backed,Edge_damage,Cortex_percentage,Cortex_description,Maximum_flake_scar_length,Maximum_flake_scar_width,Maximum_core_length,Maximum_core_width,Maximum_core_thickness,Core_cross_section,Core_cross_section_description,Recycling_indications,Recycling_description,Weathering_class,Weathering_description,Part,Life_stage,Size_class,Cutmarks,Burning,Complete,Ceramic_type,Color,Temper_size,Decorated,Decoration_description,Weight,Period,Problem,Problem_notes,Notes,Artifact_photo,Artifact_photo_URL,Platform_surface,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,_tags,_index,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
2022-06-09T06:16:07Z,2022-06-09T07:18:17Z,1,2022-06-09T04:19:00Z,Square 1,47.14450949 77.82499063 635.766,47.14450949,77.82499063,637.934,0,NA,Emily Coco,observed,1654755706114.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F168517dc-9a01-4f8a-a13d-3ad2e803eb87%2F1654755706114.jpg,complete_flake,NA,"grey, fine grained",flake,NA,NA,NA,n/a,NA,NA,NA,NA,NA,46.94,24.97,9.09,NA,12.98,3.94,missing,NA,hinge,NA,4,unidirectionaldirectional,NA,NA,FALSE,NA,NA,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,mildly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34,NA,FALSE,NA,NA,NA,NA,NA,166218371,168517dc-9a01-4f8a-a13d-3ad2e803eb87,2022-06-28T07:06:24Z,NA,NA,submitted_via_web,ec3307,NA,700,NA,NA,NA,NA,77.82499063,47.14450949,635.766,0.02,0.04,0.011,0.045,2.134,m,FIX,2022-06-09 12:20:20.8 UTC+06:00,2022-06-09 12:20:30.8 UTC+06:00,51,1.1,NA,NA,NA,77.825465,47.144104,632.574,57.877,Global CS
2022-06-09T06:30:20Z,2022-06-09T07:19:26Z,2,2022-06-09T04:30:00Z,Square 1,47.14450629 77.82498051 635.744,47.14450629,77.82498051,637.912,0,NA,Emily Coco,observed,1654756323117.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2Fcf26210f-5a23-4efa-a8a9-3b1cb5c56c3d%2F1654756323117.jpg,broken_flake,NA,"black, fine grained",flake,NA,medial,NA,n/a,NA,NA,NA,NA,NA,35.87,23.6,8.21,NA,NA,NA,NA,NA,NA,NA,3,bidirectional,NA,NA,TRUE,ventral,scalar,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,weakly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.23,NA,FALSE,NA,NA,NA,NA,NA,166218378,cf26210f-5a23-4efa-a8a9-3b1cb5c56c3d,2022-06-28T07:06:25Z,NA,NA,submitted_via_web,ec3307,NA,701,NA,NA,NA,NA,77.82498051,47.14450629,635.744,0.02,0.016,0.01,0.026,2.134,m,FIX,2022-06-09 12:31:15.6 UTC+06:00,2022-06-09 12:31:25.6 UTC+06:00,51,1.1,NA,NA,NA,77.825465,47.144104,632.574,58.152,Global CS
2022-06-09T06:35:44Z,2022-06-09T07:19:48Z,3,2022-06-09T04:35:00Z,Square 1,47.14451304 77.82499443 635.787,47.14451304,77.82499443,637.955,0,NA,Emily Coco,observed,1654756635958.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F3641b964-d8bc-4e79-ae4f-575c50772967%2F1654756635958.jpg,complete_flake,NA,"black, fine grained",flake,NA,NA,NA,n/a,NA,NA,NA,NA,NA,38.66,29.76,11.55,NA,10.15,5.44,plain,NA,feather,NA,3,multidirectionaldirectional,NA,NA,TRUE,dorsal,scalar,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,mildly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,NA,FALSE,NA,NA,NA,NA,NA,166218387,3641b964-d8bc-4e79-ae4f-575c50772967,2022-06-28T07:06:26Z,NA,NA,submitted_via_web,ec3307,NA,702,NA,NA,NA,NA,77.82499443,47.14451304,635.787,0.011,0.011,0.01,0.016,2.134,m,FIX,2022-06-09 12:36:30.6 UTC+06:00,2022-06-09 12:36:40.6 UTC+06:00,51,1.1,NA,NA,NA,77.825465,47.144104,632.574,58.064,Global CS
2022-06-09T06:42:01Z,2022-06-09T07:17:56Z,4,2022-06-09T04:42:00Z,Square 1,47.144512 77.82497277 635.809,47.144512,77.82497277,637.977,0,NA,Emily Coco,observed,1654756975485.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2Fdb7a7461-24f2-4059-a9ca-972c2d48712d%2F1654756975485.jpg,tool,NA,"black, fine grained",NA,NA,NA,NA,NA,NA,NA,notch denticulate,NA,42,48.82,19.74,9.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,dorsal,scalar notched_denticulated,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,mildly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.95,NA,FALSE,NA,NA,NA,NA,NA,166218397,db7a7461-24f2-4059-a9ca-972c2d48712d,2022-06-28T07:06:28Z,NA,NA,submitted_via_web,ec3307,NA,703,NA,NA,NA,NA,77.82497277,47.144512,635.809,0.011,0.011,0.01,0.016,2.134,m,FIX,2022-06-09 12:41:49.4 UTC+06:00,2022-06-09 12:41:59.4 UTC+06:00,51,1.1,NA,NA,NA,77.825465,47.144104,632.574,58.993,Global CS
2022-06-09T06:49:49Z,2022-06-09T07:15:54Z,5,2022-06-09T04:49:00Z,Square 1,47.14453715 77.82497389 636.01,47.14453715,77.82497389,638.178,0,Emily Coco,Emily Coco,observed,1654757441605.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F5bf3bcb9-01ec-4d81-ab84-3ee25fe2f9c1%2F1654757441605.jpg,complete_flake,NA,"black, fine grained",flake,NA,NA,NA,levallois,NA,NA,NA,NA,NA,43.89,31.49,6.64,NA,17.04,5.69,faceted,NA,feather,NA,11,radial,NA,NA,FALSE,NA,NA,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,weakly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.08,Middle Paleo,FALSE,NA,NA,NA,NA,NA,166218402,5bf3bcb9-01ec-4d81-ab84-3ee25fe2f9c1,2022-06-28T07:06:29Z,NA,NA,submitted_via_web,ec3307,NA,704,NA,NA,NA,NA,77.82497389,47.14453715,636.01,0.012,0.01,0.011,0.016,2.134,m,FIX,2022-06-09 12:49:37.0 UTC+06:00,2022-06-09 12:49:47.0 UTC+06:00,51,1.1,NA,NA,NA,77.825465,47.144104,632.574,61.145,Global CS
2022-06-09T06:54:56Z,2022-06-09T07:15:26Z,6,2022-06-09T04:54:00Z,Square 1,47.14453435 77.82498622 635.978,47.14453435,77.82498622,638.146,0,NA,Emily Coco,observed,1654757738195.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F3a2804b0-39b0-4a67-bb5e-2c2af7ee54a7%2F1654757738195.jpg,complete_flake,NA,"black, fine grained",flake,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.01,23.61,7.26,NA,4.86,3.58,linear,NA,hinge,NA,4,unidirectionaldirectional,NA,NA,FALSE,NA,NA,NA,TRUE,5,reddened rough surface,NA,NA,NA,NA,NA,NA,NA,none,NA,not_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.12,NA,FALSE,NA,NA,NA,NA,NA,166218406,3a2804b0-39b0-4a67-bb5e-2c2af7ee54a7,2022-06-28T07:06:31Z,NA,NA,submitted_via_web,ec3307,NA,705,NA,NA,NA,NA,77.82498622,47.14453435,635.978,0.01,0.01,0.01,0.015,2.134,m,FIX,2022-06-09 12:54:45.2 UTC+06:00,2022-06-09 12:54:55.2 UTC+06:00,51,1.1,NA,NA,NA,77.825465,47.144104,632.574,60.326,Global CS
2022-06-09T10:28:58Z,2022-06-09T11:26:26Z,7,2022-06-09T11:21:00Z,Square 1,47.14453084 77.8249886 638.086,47.14453084,77.8249886,640.254,0,NA,Emily Coco,observed,1654773755843.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F06a37764-0fb3-4e11-a937-5704ffb86a9e%2F1654773755843.jpg,broken_flake,NA,"black, fine grained",flake,NA,distal,NA,n/a,NA,NA,NA,NA,NA,57.88,40.58,17.76,NA,NA,NA,NA,NA,feather,NA,8,random,NA,NA,FALSE,NA,NA,NA,TRUE,10,"smooth, black",NA,NA,NA,NA,NA,NA,NA,none,NA,strongly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.34,NA,FALSE,NA,NA,NA,NA,NA,166218414,06a37764-0fb3-4e11-a937-5704ffb86a9e,2022-06-28T07:06:32Z,NA,NA,submitted_via_web,ec3307,NA,706,NA,NA,NA,NA,77.8249886,47.14453084,638.086,0.012,0.011,0.011,0.016,2.134,m,FIX,2022-06-09 17:21:07.4 UTC+06:00,2022-06-09 17:21:17.4 UTC+06:00,51,1.1,NA,NA,NA,77.825465,47.144104,634.702,59.903,Global CS
2022-06-09T11:27:11Z,2022-06-09T11:30:48Z,8,2022-06-09T11:27:00Z,Square 1,47.14453557 77.82494999 638.148,47.14453557,77.82494999,638.148,0,NA,Emily Coco,observed,1654774073592.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2Ffae0cbb4-e1ff-4295-bbe8-301837943e47%2F1654774073592.jpg,broken_flake,NA,"black, fine grained",flake,NA,distal,NA,n/a,NA,NA,NA,NA,NA,86.06,31.49,19.08,NA,NA,NA,NA,NA,feather,NA,2,unidirectionaldirectional,NA,NA,TRUE,dorsal,scalar,NA,TRUE,60,"rough, black",NA,NA,NA,NA,NA,NA,NA,none,NA,mildly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,FALSE,NA,NA,NA,NA,NA,166218418,fae0cbb4-e1ff-4295-bbe8-301837943e47,2022-06-28T07:06:34Z,NA,NA,submitted_via_web,ec3307,NA,707,NA,NA,NA,NA,77.82494999,47.14453557,638.148,0.011,0.011,0.01,0.015,2.134,m,FIX,2022-06-09 17:26:59.0 UTC+06:00,2022-06-09 17:27:09.0 UTC+06:00,51,1.2,NA,NA,NA,77.825465,47.144104,634.702,62.13,Global CS
2022-06-09T11:31:28Z,2022-06-09T11:34:34Z,9,2022-06-09T11:31:00Z,Square 1,47.14454433 77.82495651 638.215,47.14454433,77.82495651,638.215,0,NA,Emily Coco,observed,1654774330439.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2Fd408fe5b-f0c8-4fa8-9349-e6ed976e7a42%2F1654774330439.jpg,broken_flake,NA,"black, fine grained",flake,NA,distal,NA,n/a,NA,NA,NA,NA,NA,16.78,16.16,5.35,NA,NA,NA,NA,NA,hinge,NA,1,NA,NA,NA,FALSE,NA,NA,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,not_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,FALSE,NA,NA,NA,NA,NA,166218425,d408fe5b-f0c8-4fa8-9349-e6ed976e7a42,2022-06-28T07:06:35Z,NA,NA,submitted_via_web,ec3307,NA,708,NA,NA,NA,NA,77.82495651,47.14454433,638.215,0.011,0.011,0.011,0.016,2.134,m,FIX,2022-06-09 17:31:16.6 UTC+06:00,2022-06-09 17:31:26.6 UTC+06:00,51,1.2,NA,NA,NA,77.825465,47.144104,634.702,62.586,Global CS
2022-06-09T11:35:56Z,2022-06-09T11:40:31Z,10,2022-06-09T11:35:00Z,Square 1,47.14454497 77.8249509 638.218,47.14454497,77.8249509,638.218,0,NA,Emily Coco,observed,1654774606490.jpg,https://kc.kobotoolbox.org/media/original?media_file=ec3307%2Fattachments%2Fc0db83cd7fed4cf295db8d3c6722acd0%2F3d6cf324-c452-4b46-9324-4d0684f1d0b3%2F1654774606490.jpg,broken_flake,NA,"black, fine grained",blade,NA,medial,NA,n/a,NA,NA,NA,NA,NA,39.07,17,8.45,NA,NA,NA,NA,NA,NA,NA,3,bidirectional,NA,NA,TRUE,bifacial,scalar,NA,TRUE,5,"rough, black",NA,NA,NA,NA,NA,NA,NA,none,NA,weakly_weathered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.23,NA,FALSE,NA,NA,NA,NA,NA,166218432,3d6cf324-c452-4b46-9324-4d0684f1d0b3,2022-06-28T07:06:37Z,NA,NA,submitted_via_web,ec3307,NA,709,NA,NA,NA,NA,77.8249509,47.14454497,638.218,0.012,0.011,0.014,0.016,2.134,m,FIX,2022-06-09 17:35:45.0 UTC+06:00,2022-06-09 17:35:55.0 UTC+06:00,51,1.4,NA,NA,NA,77.825465,47.144104,634.702,62.907,Global CS
