Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
1,,,,,77.82499063,47.14450949,635.766,0.020,0.040,0.011,0.045,2.134,m,FIX,2022-06-09 12:20:20.8 UTC+06:00,2022-06-09 12:20:30.8 UTC+06:00,51,1.1,,,,77.82546500,47.14410400,632.574,57.877,Global CS
2,,,,,77.82498051,47.14450629,635.744,0.020,0.016,0.010,0.026,2.134,m,FIX,2022-06-09 12:31:15.6 UTC+06:00,2022-06-09 12:31:25.6 UTC+06:00,51,1.1,,,,77.82546500,47.14410400,632.574,58.152,Global CS
3,,,,,77.82499443,47.14451304,635.787,0.011,0.011,0.010,0.016,2.134,m,FIX,2022-06-09 12:36:30.6 UTC+06:00,2022-06-09 12:36:40.6 UTC+06:00,51,1.1,,,,77.82546500,47.14410400,632.574,58.064,Global CS
4,,,,,77.82497277,47.14451200,635.809,0.011,0.011,0.010,0.016,2.134,m,FIX,2022-06-09 12:41:49.4 UTC+06:00,2022-06-09 12:41:59.4 UTC+06:00,51,1.1,,,,77.82546500,47.14410400,632.574,58.993,Global CS
5,,,,,77.82497389,47.14453715,636.010,0.012,0.010,0.011,0.016,2.134,m,FIX,2022-06-09 12:49:37.0 UTC+06:00,2022-06-09 12:49:47.0 UTC+06:00,51,1.1,,,,77.82546500,47.14410400,632.574,61.145,Global CS
6,,,,,77.82498622,47.14453435,635.978,0.010,0.010,0.010,0.015,2.134,m,FIX,2022-06-09 12:54:45.2 UTC+06:00,2022-06-09 12:54:55.2 UTC+06:00,51,1.1,,,,77.82546500,47.14410400,632.574,60.326,Global CS
7,,,,,77.82498860,47.14453084,638.086,0.012,0.011,0.011,0.016,2.134,m,FIX,2022-06-09 17:21:07.4 UTC+06:00,2022-06-09 17:21:17.4 UTC+06:00,51,1.1,,,,77.82546500,47.14410400,634.702,59.903,Global CS
8,,,,,77.82494999,47.14453557,638.148,0.011,0.011,0.010,0.015,2.134,m,FIX,2022-06-09 17:26:59.0 UTC+06:00,2022-06-09 17:27:09.0 UTC+06:00,51,1.2,,,,77.82546500,47.14410400,634.702,62.130,Global CS
9,,,,,77.82495651,47.14454433,638.215,0.011,0.011,0.011,0.016,2.134,m,FIX,2022-06-09 17:31:16.6 UTC+06:00,2022-06-09 17:31:26.6 UTC+06:00,51,1.2,,,,77.82546500,47.14410400,634.702,62.586,Global CS
10,,,,,77.82495090,47.14454497,638.218,0.012,0.011,0.014,0.016,2.134,m,FIX,2022-06-09 17:35:45.0 UTC+06:00,2022-06-09 17:35:55.0 UTC+06:00,51,1.4,,,,77.82546500,47.14410400,634.702,62.907,Global CS
